"","SAMd027124354ce","SAMbf1a3ae828e6","SAM2e9ac0b1b250","SAMd35318127278","SAM560f23d6a3ad","SAM73663ee4a96e","SAMc2a1820d4e6b","SAMe1eb5d988760","SAM8a1b0e02ee42","SAMb470eb8f04be","SAMd3601288319e","SAM670649e105b5","SAM3b15b4c6311d","SAMeaa477a5384b","SAM25510f300d79","SAM771445e92421","SAM6f2a102a99df","SAM6ff654a20f98","SAM31d9176e11fb","SAM572f19794c96"
"ABL1",0.172711120533591,0.355086848232847,0.0860513160487085,0.607638442796368,0.404494575044999,0.425669298354972,0.470667029797829,0.168556965234546,-0.171387403679178,0.472614054795369,0.108145323581533,0.276523944600224,0.898931678252915,0.281026759877439,0.360065226817576,0.460237437021692,0.654211501558687,0.504188843565597,0.462992435523732,0.776228291860631
"AHR",-0.337844785241719,0.891229756956227,0.00539535113337408,0.194828039007908,1.50335817184415,0.062299149682915,0.162444552642488,0.161775263602192,-0.559360800942495,1.05862317180986,-0.168807596109857,0.418907045249729,0.0708037944568142,0.0686528902125638,0.228732664846905,0.135053379301409,-0.00130857101217403,-0.095452820394732,-0.168040755418734,0.311892339211682
"AIRE",-0.343014461503965,-0.987456638474633,-0.567653698900238,-0.757020079423785,-0.0238310072892516,-0.398457000471879,-0.422054258968704,-0.811165297169567,-0.167579296560634,-0.445448273606722,-0.475258422527327,-0.748494909114474,-1.19760763112024,-0.572920676314324,-0.805018005735745,-0.280081264654009,-0.515093412434708,-0.525019208609663,-1.26641616250952,-0.152878952633509
"AP1",0.680266427049221,0.925917690102302,0.773227765399919,-0.560995965407381,1.87608560861194,-0.153036145475014,0.590519210931731,1.03385381245642,-2.15576536782074,0.248080026676953,-0.136910738930192,1.50154716691229,1.33906497788023,0.122331631486206,0.925231909900652,0.802547931737777,0.930359826717009,0.15605896386604,1.50332746907979,1.58331646033784
"APEX1",1.21865773709342,1.47010434066044,1.5470874391848,1.02004084856069,1.48965372281477,1.29285475945007,1.32490980139307,1.42724851646477,1.10079550959116,1.3948692709916,1.43403029496201,1.39576040598577,1.5390496030533,1.71506815512528,1.21867042441941,1.46826069414257,1.3849179534827,1.2092054788187,1.31364288952763,1.62478177048993
"AR",4.00657854778489,4.987791599831,4.79254793374942,4.09950804082713,4.79701392817909,4.15522983532014,4.40781932840196,4.1195526024041,4.39809109752164,4.64714718910646,4.72658962181495,5.036330649317,4.1235875284631,3.76883085059888,4.4567732568412,4.46779173533878,4.96539882224706,5.05842817505864,4.43673687742305,4.8168616735579
"ARID4B",-0.381386970672982,-1.33215497249001,1.19272249727046,-0.229765723157602,-0.152920151610493,-1.03717290204404,-0.972767686928663,-1.40742368388606,-0.740767454159663,0.137689163275874,-0.287453523528649,-1.27387208334785,-0.498248335932166,-0.624037294286884,-0.801862269131318,-1.01708547976388,-0.57229506327132,-1.12499373439183,-1.37291190536276,-0.202454428936119
"ARNT",-0.0191843006863087,1.0803978354338,0.711024498035202,0.217301754819143,0.0321775933095355,0.445379733469605,0.56254990076199,0.0715490499593158,0.219874272833359,0.921705808849211,-0.0687417070001002,0.965364599619944,0.843491199117753,-0.0306014254790444,0.629460886567477,0.393677385762294,0.423219473775865,0.617353918952208,0.0693953340157942,0.218121549839011
"ARX",-1.29970367153347,-1.19151994282055,-1.92864253972231,-1.48878646654439,-2.33484907982231,-1.02630560854436,-0.571303265404558,-0.850731282015491,-1.32320719464933,-0.984136951523143,-2.01118117187496,-0.900357819798786,-1.41112149478565,-0.943097831366975,-1.90473679734411,-0.517329715996225,-1.48946489825581,-0.922037540405892,-1.48047008207289,-1.00336123962084
"ASCL1",-1.59254746691666,-1.85938463702091,-2.13102530037527,-1.84566276969247,-2.1699759022411,-1.81258210088223,-1.7205865112874,-1.46489548659135,-1.49326533700634,-1.70561332383524,-2.13030053907874,-1.90105518238886,-1.31746336610971,-2.09162377801162,-2.62411054397353,-1.07682332982482,-2.11913900791791,-1.75562422395743,-1.79229002043679,-1.72293706033242
