"TFs module","Composition"
"green","AHR,AIRE,AP1,APEX1,ARID1B,BATF,BCL11B,BCL6,BCOR,BRD4,BTG2,CIITA,CREM,CUX1,DOT1L,EBF1,EGR1,EGR3,EHF,ELF1,ELF2,EOMES,ETS1,ETS2,FOS,FOXE1,FOXH1,FOXP1,FOXP2,GABPA,GFI1B,HBP1,HIC1,HIVEP2,HIVEP3,HLX,HOXC6,IKZF1,IKZF2,IKZF3,IRF1,IRF2,IRF3,IRF4,IRF5,IRF7,IRF8,IRF9,JUN,KAT6A,KAT6B,KLF13,KLF2,LMO2,MAF,MAFK,MAX,MITF,MTA1,MTA2,NFATC1,NFATC2,NFATC3,NFIL3,NFKB,NFKB1,NFKB2,NOTO,NR0B2,NR2C2,NR4A3,PATZ1,PAX5,PHF20,PHF5A,POU2AF1,POU2F2,RBPJ,REL,RELA,RELB,RFX1,RFX5,RFXANK,RFXAP,RUNX1,RUNX3,SATB1,SATB2,SIRT1,SPI1,SPIB,SPIC,STAT1,STAT2,STAT4,STAT5A,TAL1,TBR1,TBX21,TET1,VENTX,XBP1,ZBTB17,ZEB1,ZFX,ZGPAT,ZHX2,ZNF263,ZNF300,ZNF395,ZXDC"
"turquoise","ABL1,AEBP1,ARID4A,ASCL1,ASCL2,ATF1,ATF2,ATF3,ATF4,ATF5,ATF7,BACH1,BARX1,BARX2,BCL11A,BCL3,BCLAF1,BHLHA15,BHLHE40,BMAL1,BMAL2,CDX1,CEBPB,CEBPD,CEBPE,CEBPZ,CLOCK,CREB1,CREB3,CREB3L1,CTBP1,CTBP2,CTCF,CTNNB1,CXXC1,DDIT3,DEAF1,DLX3,DLX4,DLX5,DMTF1,DNMT1,DNMT3A,DNMT3B,E2F7,EBF3,EGR2,EGR4,ELF3,ELF4,ELK4,EMX2,EN1,EP300,EPAS1,ERG,ESR1,ESR2,ETV1,ETV2,ETV4,ETV5,ETV6,ETV7,EZH2,FGF2,FHL2,FLI1,FOSB,FOSL1,FOSL2,FOXC1,FOXC2,FOXF1,FOXL2,FOXN1,FOXN4,FOXO1,FOXO3,FOXO4,GATA1,GATA2,GATA3,GBX2,GCM1,GLI2,GLI3,GLIS3,GSC,GTF2I,GTF3A,HAND2,HDGF,HES1,HES5,HESX1,HEYL,HHEX,HIF1A,HINFP,HMGA1,HMGA2,HOXA1,HOXA11,HOXA2,HOXA5,HOXA9,HOXB2,HOXB5,HOXC8,HOXD1,HOXD13,HOXD3,HR,HSF1,HSF2,HTATIP2,ID1,ID2,ID3,IKZF4,IRF6,JDP2,JUNB,JUND,KAT7,KDM2A,KDM5D,KLF10,KLF3,KLF4,KLF5,KLF6,KLF7,KLF9,KMT2A,LEF1,LHX1,LMX1A,LMX1B,MAFA,MAFB,MAFG,MAML1,MAZ,MBD2,MEF2A,MEF2B,MEF2D,MIXL1,MKX,MLX,MNX1,MSC,MSX2,MTF1,MYB,MYF5,MYF6,MYOCD,MYOD1,MYRF,MZF1,NCOA3,NCOR1,NCOR2,NEUROD1,NEUROD2,NEUROD6,NFAT5,NFATC4,NFE2L3,NFIA,NFIB,NFIC,NFIX,NFKBIB,NFKBIZ,NFYB,NFYC,NKRF,NKX2.2,NKX2.5,NKX3.2,NKX6.2,NPAS4,NR1D2,NR2E3,NR2F1,NR3C2,NR6A1,NRG1,NSD2,OLIG1,OVOL1,PAX1,PAX3,PAX4,PAX6,PAX8,PBRM1,PBX1,PBX2,PGR,PIAS1,PIN1,PITX2,PITX3,PKNOX1,PLAG1,POU2F1,POU3F2,POU5F1,PPARD,PRDM16,PREB,PRRX1,RARA,RARB,RARG,RFX2,RLF,RORB,RUNX2,RXRB,SCX,SIN3A,SIX1,SMAD1,SMAD2,SMAD3,SMAD4,SNAI1,SNAI2,SON,SOX10,SOX11,SOX17,SOX18,SOX3,SOX4,SOX5,SOX6,SOX7,SOX9,SP1,SP2,SP3,SP7,SRF,SSRP1,STAT3,STAT5B,STAT6,TBP,TBPL2,TBX1,TBX10,TBX18,TBX2,TBX3,TBX5,TBX6,TBXT,TCF15,TCF21,TCF3,TCF4,TCF7,TCF7L1,TCF7L2,TEAD1,TEAD4,TEF,TFAP2A,TFAP2B,TFAP4,TFCP2,TFDP3,TFE3,TFEB,TGFB1I1,THAP11,THRA,TLX1,TLX2,TLX3,TOX3,TP53,TRIM28,TSC22D1,TWIST1,TWIST2,VDR,WT1,ZBTB16,ZBTB7A,ZBTB7B,ZEB2,ZFHX3,ZFP42,ZFPM1,ZFPM2,ZNF148,ZNF331,ZNF350,ZNF354C,ZNF362,ZNF384,ZNF410,ZNF804A,ZNF91"
"red","ARID4B,ATOH1,CDX2,CEBPA,CEBPG,CREB3L3,DBP,E2F5,ESRRA,ESRRG,FOXA2,FOXA3,FOXJ1,FOXM1,FOXP3,GATA4,GRHL3,HDAC3,HES6,HIVEP1,HNF1A,HNF1B,HNF4A,HNF4G,NCOA1,NCOA2,NCOA6,NFE2L2,NKX6.1,NR0B1,NR1H2,NR1H3,NR1I3,NR2C1,NR2F6,NR3C1,NR4A1,NR5A1,ONECUT1,PDX1,PPARA,PPARGC1A,PPARGC1B,RORA,RORC,RXRA,SUPT20H,THRB,TOX,USF1,USF2,VSX2,ZBTB38,ZNF217,ZNF236"
"blue","AR,ARID1A,ARID3A,ARID3B,ARID5B,ATOH7,BACH2,CREB5,CREBBP,CREBZF,CRX,CTCFL,DAXX,DLX2,DMAP1,E2F1,E2F2,E2F3,E2F4,E2F6,ENO1,ERF,ESRRB,FEV,FIGLA,FOXA1,FOXD3,FOXF2,FOXG1,FOXO6,GRHL2,HAND1,HCFC1,HDAC5,HDAC7,HDAC9,HEY1,HEY2,HIF3A,HIPK2,HMGB2,HOPX,HOXA10,HOXA4,HOXB1,HOXB3,HOXB6,HOXC13,HOXD10,HOXD8,HSF4,ID4,ING4,IRX1,ISL1,KDM5A,KDM5B,KDM5C,KLF12,KLF17,KLF8,LITAF,LMO4,LRRFIP1,LYL1,MBD1,MECOM,MECP2,MED1,MEIS1,MEIS2,MEOX2,MESP2,MLXIPL,MSX1,MTA3,MTF2,MXD1,MXI1,MYBL1,MYC,MYCN,NAB2,NACC1,NEUROG1,NEUROG2,NEUROG3,NFE2L1,NFYA,NHLH1,NKX6.3,NONO,NPAS2,NR1H4,NR1I2,NR2E1,NR5A2,OLIG2,PAWR,PAX7,PHOX2A,PHOX2B,PML,POU1F1,POU3F1,POU4F2,POU4F3,PPARG,PRDM4,PROP1,PTF1A,RB1,RCOR2,RXRG,SALL3,SALL4,SETBP1,SF1,SIM2,SMAD5,SMAD6,SMAD7,SMAD9,SMARCA1,SMARCA4,SMARCA5,SMARCB1,SMARCC1,SOX2,SP4,SPDEF,SREBF1,SREBF2,STOX1,TBX15,TFAM,TFAP2C,TFAP2D,TFDP1,TGIF1,TP73,TRERF1,TRPS1,TSHZ3,TTF1,UTF1,VHL,VSX1,WWTR1,YAP1,YBX1,YBX3,YY1,ZBTB14,ZBTB33,ZBTB4,ZFP64,ZGLP1,ZIC1,ZKSCAN7,ZNF143,ZNF160,ZNF24,ZNF382,ZNF423,ZNF436,ZNF76"
"brown","AHRR,AIP,ARNT,ARX,ASXL1,ATF6,BHLHE41,BRCA1,CAMTA1,CHD4,DACH1,DLX1,DMRT1,E4F1,ELF5,ELK1,ELK3,ETV3,EWSR1,FEZF1,FEZF2,FOXD1,FOXI1,FOXQ1,GATA5,GATA6,GFI1,GLI1,GTF2IRD1,HDAC1,HDAC4,HLF,HOXA13,HOXA7,HOXB13,HOXB4,HOXB7,HOXB9,HOXD4,INSM1,IRF2BPL,IRX4,JARID2,KAT2B,KAT5,KCNIP3,KLF1,KLF11,KLF15,KMT2B,LHX2,LHX3,LHX4,LHX8,MEF2C,MEOX1,MLXIP,MNT,MYBL2,MYOG,MYT1,NANOG,NFE2,NFX1,NHLH2,NKX2.1,NKX3.1,NOTCH1,NPM1,NR1D1,NR2F2,NR4A2,NRF1,NRL,NUPR1,OTX2,PA2G4,PARK7,PAX2,PAX9,PEG3,PITX1,PLAGL1,PLAGL2,POU2F3,POU3F4,POU4F1,PRDM1,PRDM2,PROX1,PURA,REST,RFX3,RREB1,SALL1,SALL2,SFPQ,SHOX2,SIX3,SIX4,SKIL,SP6,SRSF2,SRY,TADA2A,TAF1,TBPL1,TBX20,TCF12,TCF20,TEAD2,TFDP2,TP63,UBTF,VEZF1,ZBED1,ZBTB18,ZBTB32,ZIC2,ZMYND8,ZNF202,ZNF219,ZNF335,ZNF699"
