"","source","target","mor"
"211","POU1F1","POU1F1",1
"212","POU1F1","PRL",1
"213","POU1F1","PREB",1
"214","PREB","POU1F1",1
"215","POU1F1","PRKACA",1
"216","PREB","PREB",1
"217","STAT3","POMC",1
"218","TP53","PTGS2",-1
"219","TBP","PTGS2",1
"220","TP53","TICAM2",1
"221","TBP","RB1",1
"222","PAX5","RB1",1
"223","CREB1","CHGA",1
"224","CEBPG","NOS2",1
"225","CEBPB","NOS2",1
"226","CEBPA","ALB",1
"227","TP53","ALOX15",1
"228","LITAF","TNF",1
"229","IRF1","IFNL3",1
"230","IRF2","IFNL3",1
"231","IRF3","IFNL3",1
"232","RELA","IFNL3",1
"233","ZNF219","HMGN1",1
"234","IRF2","IRF2",1
"235","CREB1","CCND1",1
"236","STAT1","IFNG",1
"237","STAT6","IFNG",-1
"238","JUN","IL6",1
"239","EGR1","IL1B",1
"240","EGR1","IL1A",1
"241","HIF1A","EPO",1
"242","HLF","EPO",1
"243","MZF1","MS4A3",1
"244","MYC","CDC25A",1
"245","TFAP2A","NQO1",1
"246","POU1F1","GHRHR",1
"247","FOS","TGFB1",1
"248","TP53","MMP1",-1
"249","ARNT","EPO",1
"250","TP73","MDM2",1
"251","TCF4","SSTR2",1
"252","CREM","FSHB",-1
"253","SPI1","REG1A",1
"254","TP73","TP53",1
"255","TP53","TP73",1
"256","MYC","EMP1",1
"257","ESR1","EMP1",1
"258","KLF11","HBG1",1
"259","KLF11","HBB",1
"260","NFATC2","TAT",1
"261","HIVEP2","SSTR2",1
"262","ESR1","CRYAB",1
"263","TP73","CDKN1A",1
"264","E2F4","E2F1",-1
"265","RUNX1","BCL2",1
"266","POU1F1","TRHR",1
"267","YY1","ACR",1
"268","GATA5","MYH7",1
"269","GATA4","MYH7",1
"270","SP1","CDKN1A",1
"271","GATA4","SLC8A1",1
"272","SRF","SLC8A1",1
"273","ELF1","IL5",1
"274","ETS2","IL5",1
"275","GATA3","IL5",1
"276","ETS1","IL5",1
"277","TBP","CREBBP",1
"278","MSX1","MSX1",-1
"279","DDIT3","HSPA5",1
"280","SP1","TGFB1",1
"281","NR1D1","PPARG",-1
"282","RUNX2","RUNX2",1
"283","OTX2","NCAM1",1
"284","LHX2","PCYT1A",1
"285","SP1","PCYT1A",1
