"","source","target","mor"
"9026","FOXO1","BAX",1
"9027","NR1H4","ICAM1",1
"9028","FLI1","CCNE1",1
"9029","EWSR1","CCNE1",1
"9030","SP1","CCNE1",1
"9031","AHR","UGT1A7",1
"9032","DNMT1","CYP1A1",1
"9033","DNMT1","UGT1A7",1
"9034","AHR","SDHB",1
"9035","NR1H4","UGT2B7",1
"9036","ESRRG","ESRRA",1
"9037","DDIT3","CCL2",1
"9038","PPARG","ESRRA",1
"9039","ESRRG","ESRRG",1
"9040","AR","FKBP5",1
"9041","FOXO4","BCL2L11",1
"9042","HOXB3","HOXB2",1
"9043","HOXB2","HOXB3",1
"9044","VDR","ABCC3",1
"9045","CDX2","HEPH",1
"9046","SP1","ITGA5",1
"9047","TCF3","DLD",1
"9048","TCF3","SULT2A1",1
"9049","NR3C1","CSF2",1
"9050","NR3C1","IL5",1
"9051","RUNX2","FGFR2",1
"9052","TWIST1","FGFR2",1
"9053","NR0B1","DHH",1
"9054","NR5A1","DHH",1
"9055","CEBPD","PI3",1
"9056","DDIT3","PI3",1
"9057","TP53","PDLIM7",1
"9058","JUN","BGLAP",1
"9059","JUN","NACA",1
"9060","NR5A2","POU5F1",1
"9061","SP1","RARA",1
"9062","SCX","SHBG",1
"9063","GATA6","CYB5A",1
"9064","BCL6B","IL2",1
"9065","NR5A1","CYB5A",1
"9066","HNF4A","ALPI",1
"9067","PPARA","FABP3",1
"9068","CEBPD","HBB",1
"9069","CEBPG","HBB",1
"9070","CEBPB","HBB",1
"9071","POU4F2","HSPB1",1
"9072","AR","ERBB2",1
"9073","DLX4","OGA",1
"9074","GRHL3","OGA",1
"9075","NEUROD1","INS-IGF2",1
"9076","TGFB1I1","VIM",1
"9077","NKX2-5","NPPB",1
"9078","VDR","NPPA",1
"9079","SP1","ATM",1
"9080","NR2C2","TNF",1
"9081","SRF","ACTB",1
"9082","SRF","GSN",1
"9083","SMAD3","EDN1",1
"9084","PPARA","GRHPR",1
"9085","STAT5A","SLCO1B3",1
"9086","STAT5A","GHR",1
"9087","THRA","EGFR",1
"9088","CREM","CRH",1
"9089","GRHL3","SMAD7",1
"9090","TBX2","TBX20",1
"9091","TBX20","TBX2",-1
"9092","TBX2","MYCN",-1
"9093","TBX20","MEF2C",1
"9094","GATA4","MEF2C",1
"9095","GATA4","NKX2-5",1
"9096","NKX2-5","GATA4",1
"9097","ISL1","MEF2C",1
"9098","ISL1","NKX2-5",1
"9099","TBX20","NKX2-5",1
"9100","SIX3","BMP4",1
"9101","MECOM","SMAD7",-1
"9102","SP1","COL10A1",1
"9103","SP3","COL10A1",1
"9104","DLX5","COL10A1",1
"9105","NCOR2","TH",1
"9106","CEBPB","ADIPOQ",1
"9107","SP1","FECH",1
"9108","SP1","PADI2",1
"9109","SP3","PADI2",1
"9110","USF1","GCLC",-1
"9111","PPARA","ELOVL3",1
"9112","SREBF1","ELOVL3",1
"9113","NR1H3","ELOVL3",1
"9114","NR2F2","INS",1
"9115","E2F3","CCNB1",1
"9116","E2F4","CCNB1",1
"9117","TP53","SERPINF1",1
"9118","TP73","SERPINF1",1
"9119","TP63","SERPINF1",1
"9120","USF2","AVP",1
"9121","USF2","QRFP",1
"9122","NANOG","POU5F1",1
"9123","REST","BRINP1",-1
"9124","REST","NTRK3",-1
"9125","RELA","REN",1
"9126","ETV5","ICAM1",1
"9127","TP53","PRIMA1",1
"9128","POU5F1","NANOG",1
"9129","SOX2","NANOG",1
"9130","NR0B2","TIMP1",-1
"9131","NR1H4","TIMP1",-1
"9132","SP1","CYP2F1",1
"9133","SP3","CYP2F1",1
"9134","HR","ICAM1",1
"9135","CEBPG","AVP",1
"9136","PDX1","INS-IGF2",1
"9137","TCF3","INS-IGF2",1
"9138","DNMT1","INS",1
"9139","SMAD7","SMURF2",1
"9140","ESR2","INSR",-1
"9141","SOX15","HRC",1
"9142","SOX2","HRC",1
"9143","TFAP2A","PIGR",1
"9144","USF2","PIGR",1
"9145","TFAP2A","MYH13",1
"9146","E2F1","PTGS2",1
"9147","YY1","ERBB2",1
"9148","NFE2L2","FGF1",1
"9149","NFE2L2","NGF",1
"9150","JARID2","RB1",1
"9151","ASCL1","TPH1",-1
"9152","HES1","TPH1",1
"9153","STAT3","PTPN13",1
"9154","STAT3","PTPN6",-1
"9155","DNMT1","PTPN6",1
"9156","SPI1","PTPN6",1
"9157","MEF2A","SMYD1",1
"9158","SP1","RASSF1",1
"9159","SMARCA1","MYOG",1
"9160","PBX1","MYOG",1
"9161","TP53","BUB1B",1
"9162","NCOR2","EBP",1
"9163","NCOR2","NFE2L2",1
"9164","NCOR2","RHBDF2",1
"9165","HES1","CDKN1B",-1
"9166","KAT7","CCND1",1
"9167","TAF1","FOS",1
"9168","STAT1","SLURP1",1
"9169","ZNF384","EFNB2",1
"9170","TBP","TRRAP",1
"9171","ESR1","GSTK1",1
"9172","NKX3-1","NKX3-1",1
"9173","ESR1","GSTP1",1
"9174","ESR1","HPGDS",1
"9175","CEBPB","IFNA1",1
"9176","ESRRA","SULT2A1",1
"9177","PAX3","CD3E",1
"9178","NR0B1","MC2R",-1
"9179","DNMT1","MC2R",1
"9180","SSRP1","NFKBIA",1
"9181","SREBF1","IRS2",-1
"9182","TBX6","CD44",1
"9183","XBP1","DNAJB9",1
"9184","SP4","VEGFA",1
"9185","PDX1","MTOR",1
"9186","HOXB8","MYLK",-1
"9187","HOXA10","MYLK",1
"9188","PPARG","SLC2A2",1
"9189","SP1","ERVW-1",1
"9190","MECOM","GATA2",1
"9191","SP1","PTHLH",1
"9192","RB1","SP1",1
"9193","SP1","RB1",1
"9194","MYB","MYC",1
"9195","APEX1","HAP1",1
"9196","APEX1","MNT",1
"9197","MNT","HAP1",1
"9198","MNT","MNT",1
"9199","APEX1","GAL",1
"9200","DBP","ALB",1
"9201","NFE2L2","GSS",1
"9202","SP1","ST3GAL5",1
"9203","TFAP2A","ST3GAL5",1
"9204","TFAP2A","POMGNT2",1
"9205","MEF2C","SMYD1",1
"9206","ESR1","DLC1",1
"9207","BCL6","CD22",1
"9208","BCL6","CD79A",1
"9209","BCL6","MME",1
"9210","BCL6","MS4A1",1
"9211","SPI1","BCL6",-1
"9212","BCL6","SPI1",1
"9213","ESR1","DCT",1
"9214","CREB1","FKTN",1
"9215","MZF1","MUC1",1
"9216","YBX3","MUC1",1
"9217","VSX2","NES",-1
"9218","ETS1","LMO2",1
"9219","LMO2","LMO2",1
"9220","SREBF1","HPGD",1
"9221","ESX1","KRAS",-1
"9222","NFAT5","ENPP2",1
"9223","NFATC2","ENPP2",1
"9224","SPZ1","PCNA",1
"9225","MESP2","LFNG",1
"9226","TRERF1","CDKN1A",1
"9227","TRERF1","CDKN1B",1
"9228","YY1","HSPA5",1
"9229","KAT7","HSPA5",1
"9230","TP53","MCM7",-1
"9231","HMGA1","CD44",1
"9232","CEBPD","EGF",1
"9233","HIF1A","ITGAM",1
"9234","SP1","TGFBR1",1
"9235","TFAP2A","TGFBR1",1
"9236","TFAP2A","TGFBR2",1
"9237","NR1H4","SQSTM1",1
"9238","SP1","SLC15A1",1
"9239","JUN","CSN1S1",1
"9240","NEUROD1","SST",-1
"9241","NEUROD1","GCG",1
"9242","HIF1A","PCK1",1
"9243","SP1","MEFV",1
"9244","PPARG","FN1",-1
"9245","CREB1","FN1",1
"9246","EGR1","LTB",1
"9247","KLF3","LTB",1
"9248","ZFPM1","NELFE",1
"9249","RELA","CD8A",1
"9250","PAX3","LTB",1
"9251","SP1","LTB",1
"9252","PHF5A","MYH6",1
"9253","SMAD1","MYH6",1
"9254","HOXA3","MMP14",1
"9255","PPARG","PC",1
"9256","RXRA","PC",1
"9257","KLF6","DLK1",-1
"9258","SRF","CSRP1",1
"9259","ZFPM1","FOXN1",1
"9260","TCF21","AR",1
"9261","HNF4A","CYP2C9",1
"9262","SREBF1","SLC2A2",1
"9263","CEBPA","ADIPOQ",1
"9264","CEBPD","ADIPOQ",1
"9265","CEBPB","ARG1",1
"9266","HIF1A","ABCA1",1
"9267","SP3","ABCA1",-1
"9268","MYBL2","CCND1",1
"9269","SP1","CCNA1",1
"9270","MYBL2","SAR1B",1
"9271","SP1","MYBL2",1
"9272","MYBL2","SP1",1
"9273","SP1","MYB",1
"9274","MYB","SP1",1
"9275","MYBL2","CDK2",1
"9276","MYB","CCND1",1
"9277","AR","SMARCC1",1
"9278","SMARCC1","AR",1
"9279","NCOA1","KLK3",1
"9280","NCOA1","SMARCC1",1
"9281","SMARCC1","KLK3",1
"9282","ELF4","MORF4L1",1
"9283","KDM5A","RBP2",1
"9284","CEBPA","FCAR",1
"9285","TP53","PI3",1
"9286","HOXA9","CDH5",1
"9287","HOXA9","KDR",1
"9288","HNF4A","APOA4",1
"9289","NR1H2","PTBP1",1
"9290","NKX2-1","TSHR",1
"9291","PAX8","TSHR",-1
"9292","TFAP4","OGG1",1
"9293","PAX4","ARX",-1
"9294","ARX","PAX4",-1
"9295","MEF2A","AVP",1
"9296","MEF2A","CKM",1
"9297","NFATC1","CKM",1
"9298","STAT1","CEBPD",1
"9299","VHL","HIF1A",-1
"9300","HIF1A","VHL",1
"9301","SKIL","MYC",-1
"9302","AHR","CA3",-1
"9303","HNF4A","CYP2C8",1
"9304","NR1I2","CYP2C8",1
"9305","NR3C1","CYP2C8",1
"9306","ESR1","TH",1
"9307","ESR2","TH",1
"9308","XBP1","PTH",1
"9309","E2F6","TEX12",1
"9310","SPI1","GRAP2",1
"9311","SPIB","GRAP2",1
"9312","PPARA","FABP6",1
"9313","PPARD","FABP6",1
"9314","KLF7","NTRK1",1
"9315","ZNF354C","NTRK1",1
"9316","RELA","IKBKE",1
"9317","ESR1","S1PR1",1
"9318","GTF2I","KDR",1
"9319","GTF2I","GTF2I",1
"9320","ARID5A","ESR1",1
"9321","ARID5A","SRSF2",1
"9322","PBX1","TLX1",1
"9323","TLX1","TLX1",1
"9324","STAT5B","PAX5",1
"9325","NR3C1","IL7R",1
"9326","GFI1","CYP27B1",-1
"9327","ESR2","CCNE1",-1
"9328","ETS1","MMP9",1
"9329","TP53","NPM1",1
"9330","TP53","NR1D1",1
"9331","NR1H2","KAT2A",1
"9332","PITX3","PITX3",1
"9333","POU2F1","CDX4",1
"9334","KLF10","CCN2",1
"9335","PPARA","NOS2",-1
"9336","MEF2A","GRIN1",1
"9337","NR4A1","IGF1",1
"9338","TFAP2A","GRIN1",1
"9339","MEF2C","FSD1",1
"9340","MYOD1","FSD1",1
"9341","YY1","ATP2C1",1
"9342","SP1","ATP2C1",1
"9343","CEBPB","CD200",1
"9344","TFAP2A","IGFBP5",1
"9345","TP53","COL18A1",1
"9346","TP53","MAP4K4",1
"9347","AHR","UGT1A1",1
"9348","PITX1","KRAS",1
"9349","JUN","PTK2",1
"9350","MITF","SERPINE1",1
"9351","MITF","INHBA",1
"9352","EGR1","INHBA",1
"9353","WT1","SLC5A5",1
"9354","HNF1A","ACAT2",1
"9355","STAT5A","PRF1",1
"9356","CREB1","MUSK",-1
"9357","MYOD1","MUSK",1
"9358","CRX","ABCA4",1
"9359","RELA","HLA-DRB1",1
"9360","RELA","EGF",1
"9361","KLF7","CDKN1B",1
"9362","CRX","GUCY2D",1
"9363","E2F1","WNT4",1
"9364","MYC","WNT4",1
"9365","YY1","RB1",1
"9366","TP53","PLK4",-1
"9367","CREB1","PLK4",-1
"9368","SP1","PLK4",-1
"9369","TP53","CREB1",1
"9370","CREB1","TP53",1
"9371","AR","FCER1G",1
"9372","GATA1","FCER1G",1
"9373","HNF4A","PDK4",1
"9374","STAT6","IL10",-1
"9375","POU4F1","PRPH2",1
"9376","UBTF","MMP3",1
"9377","ETS2","IFNA1",1
"9378","FLI1","HGF",1
"9379","HESX1","DHX9",1
"9380","HOPX","DHX9",1
"9381","HOPX","NPPA",1
"9382","HOPX","NPPB",1
"9383","SOX17","DMRT1",1
"9384","FOS","RAB11A",1
"9385","NR1H4","PPARG",1
"9386","NR1H4","SREBF1",-1
"9387","DMRT1","DMRT1",1
"9388","NFATC2","RCAN1",1
"9389","EGR1","SLC9A2",1
"9390","ZNF354C","SLC9A2",1
"9391","PAX6","BTC",1
"9392","LEF1","MYCBP",1
"9393","MYC","MYCBP",1
"9394","SSRP1","IL6",1
"9395","GTF2IRD1","ABCB1",1
"9396","SOX5","DMRT1",-1
"9397","ZBTB7B","UGDH",1
"9398","FOXH1","MIXL1",1
"9399","GATA4","COL1A2",1
"9400","MITF","HIF1A",1
"9401","JDP2","SRC",1
"9402","TP73","CDKN1C",1
"9403","VDR","CAMP",1
"9404","HNF1B","KRT18",1
"9405","CEBPA","NF1",1
"9406","ETS2","NF1",1
"9407","RUNX1","NF1",-1
"9408","RELA","KLF2",1
"9409","FOSL1","GCLC",-1
"9410","NCOA1","FLII",1
"9411","NCOA2","FLII",1
"9412","NCOA3","FLII",1
"9413","TFCP2","PIAS1",1
"9414","KAT5","OGA",1
"9415","MYC","OGA",1
"9416","MYC","TFAM",1
"9417","HIF1A","CCND1",1
"9418","CREB1","IL2RA",1
"9419","EMX2","PCNA",-1
"9420","ELF1","LMO2",1
"9421","TFE3","CDH1",1
"9422","TFEB","CDH1",1
"9423","IRF3","TNFSF10",1
"9424","ERF","ARAF",1
"9425","MYC","STAT3",1
"9426","STAT3","MYC",1
"9427","DDIT3","HLA-DRB1",1
"9428","ETS1","STAT1",1
"9429","LHX4","GH1",1
"9430","FOS","CRY1",1
"9431","JUN","CD9",1
"9432","MITF","BRAF",1
"9433","ELF1","CD1D",1
"9434","CDX2","INS",1
"9435","SPI1","CD1D",1
"9436","SPI1","UGDH",1
"9437","STAT6","CXCL8",1
"9438","NR5A1","INSL3",1
"9439","NR1I3","ABCB1",1
"9440","DDIT3","ERVW-1",1
"9441","ATF4","ERVW-1",1
"9442","KLF5","DCN",1
"9443","KLF5","GADD45G",1
"9444","KLF5","MAP3K14",1
"9445","SKIL","DCN",1
"9446","SKIL","GADD45G",1
"9447","SKIL","MAP3K14",1
"9448","ZFPM2","DCN",1
"9449","ZFPM2","GADD45G",1
"9450","ZFPM2","MAP3K14",1
"9451","CREB1","ADCYAP1",1
"9452","USF1","ADCYAP1",1
"9453","JUND","FTMT",1
"9454","AR","CASP2",1
"9455","TAL1","FPR2",1
"9456","NRG1","HSP90B2P",1
"9457","EZH2","IL6",1
"9458","STAT3","AKT1",1
"9459","RARB","RBP1",1
"9460","STAT3","HIF1A",1
"9461","HIF1A","STAT3",1
"9462","JUN","CYP2J2",1
"9463","RARB","CYP26A1",1
"9464","CEBPB","ATF4",1
"9465","GATA1","KIT",-1
"9466","MAFK","H2AC18",1
"9467","FOS","CYP2J2",1
"9468","PPARG","CDKN2B",1
"9469","ESR1","CYP1B1",1
"9470","ESR1","CYP1A1",-1
"9471","JUN","GCLM",1
"9472","NFE2L2","TNF",1
"9473","EGR1","RBP1",1
"9474","HSF1","HSPA1A",1
"9475","MYB","CTSG",1
"9476","SPI1","CTSG",1
"9477","AR","ABCC4",1
"9478","AR","DHCR24",1
"9479","AR","GUCY1A1",1
"9480","AR","KLK2",1
"9481","KLF2","HBG1",1
"9482","KLF8","HBG1",1
"9483","HIF1A","SOX9",1
"9484","MYB","SP3",1
"9485","USF1","SP3",1
"9486","GATA6","DAB2",1
"9487","ESRRA","TFF1",1
"9488","NCOR1","ASCL2",1
"9489","NCOR1","KDM4A",1
"9490","TBP","EIF4E",1
"9491","TP53","CSNK1A1",1
"9492","ATF4","CEBPB",1
"9493","ISL1","GAL",1
"9494","RUNX3","CCR7",-1
"9495","NKX2-1","CHRNA2",1
"9496","NKX2-1","CHRNA7",1
"9497","ARID1B","IL2RA",1
"9498","RUNX3","ITGAE",1
"9499","NR3C1","G6PC1",1
"9500","NR1H4","VIPR1",1
"9501","MAFB","NUAK1",1
"9502","ATF1","TXN",1
"9503","NFATC1","OSCAR",1
"9504","AR","KRT8",1
"9505","AR","NF2",1
"9506","GZF1","HOXA10",-1
"9507","MEF2A","TNNT2",1
"9508","FOS","PCYT2",1
"9509","TP53","MAPK3",1
"9510","HNF4A","PRKAA2",1
"9511","HNF4A","APOA5",1
"9512","MBD2","BRCA1",1
"9513","SP1","TNFSF11",-1
"9514","SP3","TNFSF11",-1
"9515","SMAD3","CCND2",1
"9516","CEBPB","KLF5",1
"9517","KLF5","PPARG",1
"9518","EGR2","CEBPB",1
"9519","CEBPB","EGR2",-1
"9520","ZNF267","MMP10",-1
"9521","ZNF362","MMP10",1
"9522","SP1","KLF6",1
"9523","ESR1","SOCS3",1
"9524","SOX4","GCG",1
"9525","SREBF1","INS",1
"9526","MYBL1","NLK",1
"9527","GTF2I","CCND2",1
"9528","GTF2I","CCND3",1
"9529","GTF2I","E2F2",1
"9530","SMAD3","CCND3",1
"9531","SMAD3","E2F2",1
"9532","GSC","GTF2I",1
"9533","GTF2I","GSC",1
"9534","GTF2I","TGFB1",1
"9535","SMAD2","GSC",1
"9536","ESR1","PRKN",1
"9537","ESR1","LHB",1
"9538","ESR1","UBE2D2",1
"9539","CREM","PTH",1
"9540","CEBPB","PTGER4",1
"9541","CEBPG","PTGER4",1
"9542","PPARD","PTGER4",1
"9543","VDR","CDH1",1
"9544","STAT3","TERT",1
"9545","USF2","KRAS",1
"9546","TP53","CKAP2",1
"9547","POU2F1","GATA2",1
"9548","HNF4A","DKK4",1
"9549","MYOD1","DKK4",1
"9550","POU2F2","SFRP2",1
"9551","POU2F1","SFRP2",1
"9552","POU2F1","SOX2",1
"9553","SOX9","SOX2",1
"9554","EGR1","ATF3",1
"9555","ATF3","EGR1",1
"9556","AR","KDM1A",1
"9557","SPI1","TNFRSF11A",1
"9558","CEBPG","VIP",1
"9559","PPARA","G0S2",1
"9560","JUN","IBSP",-1
"9561","TBP","TAF4B",1
"9562","ESR1","INSR",1
"9563","ESR1","WT1",1
"9564","WT1","ESR1",1
"9565","PITX1","PITX1",1
"9566","FOXA1","TFF1",1
"9567","CREB1","AR",1
"9568","EGR3","GABRA4",1
"9569","EGR3","IGBP1",1
"9570","NR5A2","ESR1",1
"9571","ESR1","NR5A2",1
"9572","AHRR","MYC",1
"9573","ATF3","CLIP1",1
"9574","SPI1","PIP",1
"9575","IRF4","TLR4",1
"9576","NR3C1","ORM1",1
"9577","TP53","TXN",1
"9578","BCL3","LCK",1
"9579","YY1","PCNA",1
"9580","HIF1A","MET",1
"9581","FOXO3","FOXO1",1
"9582","FOXO1","FOXO3",1
"9583","NR1I3","PKD1",1
"9584","FOXO1","ANGPT2",1
"9585","FOXO3","ANGPT2",1
"9586","FOXO1","NOS3",-1
"9587","FOXO3","NOS3",-1
"9588","KLF2","DLK1",1
"9589","SMAD9","MSX1",1
"9590","KLF5","RARA",1
"9591","KLF9","MYH10",1
"9592","KLF9","MYH11",1
"9593","KLF5","NOS2",1
"9594","KLF5","VEGFA",1
"9595","VDR","CCND3",1
"9596","KLF5","CCND1",1
"9597","EGR1","CXCL8",1
"9598","ETS1","CASP1",1
"9599","TP63","CASP1",1
"9600","TP53","FEN1",1
"9601","MNT","CCND2",1
"9602","GATA1","TIMP1",1
"9603","TP53","STAT3",-1
"9604","STAT3","TP53",-1
"9605","FOXO1","PRKG1",1
"9606","CEBPB","DLST",1
"9607","PAX1","EYA1",1
"9608","SP3","ATP2A3",1
"9609","SP3","STAR",1
"9610","GATA3","PRKACA",1
"9611","NR5A2","PRKACA",1
"9612","SMAD7","MSTN",-1
"9613","RXRA","SREBF1",1
"9614","TP53","EIF4E",-1
"9615","PITX2","CD81",1
"9616","PITX2","CD82",1
"9617","PITX2","CD9",1
"9618","CUX1","CCND2",1
"9619","ZBTB38","CALCA",1
"9620","ZBTB38","HP",1
"9621","EGR3","GADD45B",1
"9622","SNAI1","GADD45B",1
"9623","PAX6","OLFM3",1
"9624","TP53","CDH3",1
"9625","NRF1","SNRPN",1
"9626","SP1","SNRPN",1
"9627","KLF2","IL2",1
"9628","POU2F1","CRP",-1
"9629","ATF5","HNRNPD",1
"9630","ATF5","HNRNPH1",1
"9631","ID2","HNRNPH1",1
"9632","ID2","TRB",1
"9633","FOXM1","CDH1",1
"9634","RUNX1","CDH1",1
"9635","SP1","CDH1",1
"9636","ID3","COL1A2",-1
"9637","PROX1","SOX2",1
"9638","SIX3","SOX2",1
"9639","SOX2","SIX3",1
"9640","PAX6","SOX2",1
"9641","SOX2","PAX6",1
"9642","TFAP2A","SOX2",1
"9643","MSX2","SOX2",-1
"9644","HES1","MAPK1",1
"9645","FOXH1","INHBA",1
"9646","SP3","FKBP1B",1
"9647","SP3","FKBP1A",1
"9648","FOS","PIN1",1
"9649","SSRP1","ID1",1
"9650","FOXO1","BCL2L11",1
"9651","NR3C1","SLC10A1",1
"9652","JUN","CYP51A1",1
"9653","SP3","ACSBG1",1
"9654","STAT5B","CISH",1
"9655","ID2","COL1A2",-1
"9656","PPARG","CD5L",-1
"9657","TLX2","RET",1
"9658","ATF2","PABPC4",1
"9659","SP1","NGF",1
"9660","SP1","SPHK1",1
"9661","TP73","CASP1",1
"9662","TP73","IFNG",1
"9663","DNMT1","CD44",1
"9664","RUNX3","CDKN1A",1
"9665","TP73","TAT",1
"9666","DNMT1","PDGFB",1
"9667","HIF1A","PDGFB",1
"9668","TRPS1","RUNX2",-1
"9669","IRF5","PDLIM7",-1
"9670","CTCF","CTAG1A",1
"9671","CTCFL","CTAG1A",1
"9672","STAT1","PRL",-1
"9673","AR","MAK",1
"9674","ESR1","SIAH2",1
"9675","NCOR1","SIAH2",1
"9676","NCOA2","TGFB1I1",1
"9677","YY1","FAS",-1
"9678","ESR1","PPARA",-1
"9679","HAND2","TSPOAP1",1
"9680","SOX6","INS",-1
"9681","TFCP2","NOS2",1
"9682","MAZ","MMP9",1
"9683","SP3","APC",1
"9684","HEY2","DYM",1
"9685","HEY2","MYOCD",1
"9686","GATA2","HBA1",1
"9687","ETS1","ETS1",1
"9688","IRF1","IFNA16",1
"9689","IRF1","GABRA6",1
"9690","IRF1","IGBP1",1
"9691","CREB1","GCH1",1
"9692","ATF2","GCH1",1
"9693","JUN","GCH1",1
"9694","SP3","POU5F1",1
"9695","ZNF91","ALDOA",1
"9696","ZNF224","ALDOA",-1
"9697","SMAD1","WNT3A",1
"9698","POU4F2","JUP",1
"9699","POU4F2","CDH1",1
"9700","POU4F1","JUP",1
"9701","FOXA2","ADH1A",1
"9702","GATA2","ADH1A",1
"9703","FOXO4","INS",1
"9704","HIF1A","CAD",1
"9705","STAT5B","CCND1",1
"9706","ZIC2","CAMK2A",1
"9707","ZNF91","CAMK2A",1
"9708","HIF1A","EGLN1",1
"9709","ELK3","PCYT1A",1
"9710","E2F1","DIRAS3",-1
"9711","E2F4","DIRAS3",-1
"9712","FOXI1","SLC4A9",1
"9713","SMAD9","FOXE3",1
"9714","ZEB2","FOXE3",1
"9715","MYB","BCL2L11",1
"9716","RUNX3","ITGA4",1
"9717","DDIT3","ASNS",-1
"9718","ATF5","ASNS",1
"9719","SP6","SP6",1
"9720","WT1","BAK1",1
"9721","RARA","CASP9",1
"9722","GCM1","CREBBP",1
"9723","GCM1","GCM1",1
"9724","NR6A1","FGF4",1
"9725","KLF2","MAP2K5",1
"9726","RUNX2","MMP9",1
"9727","RFXANK","ANKRA2",1
"9728","ZNF260","NPPA",1
"9729","NR0B2","SCARB1",1
"9730","NR1H4","SCARB1",1
"9731","SMARCA5","BMP4",1
"9732","KLF4","SERPINE1",-1
"9733","KMT2A","CDKN1B",1
"9734","TP53","MST1",1
"9735","YY1","NPM1",-1
"9736","RARB","EGFR",1
"9737","CREB1","PBK",1
"9738","ESR1","LTBP1",1
"9739","IRF4","TNFSF10",-1
"9740","JDP2","PLXNB2",1
"9741","MYC","PLXNB2",1
"9742","POU2F1","OLR1",1
"9743","NFAT5","DHX9",1
"9744","ELF1","NOS2",1
"9745","TP53","CASP2",1
"9746","LEF1","SNAI2",1
"9747","SMAD1","SNAI2",1
"9748","PPARG","TG",-1
"9749","SP1","LHX3",1
"9750","STAT5A","NF1",1
"9751","SP1","CEND1",1
"9752","E2F1","PNRC2",-1
"9753","TP63","IGF1R",1
"9754","TP73","IGF1R",1
"9755","TP63","INSR",1
"9756","TP73","INSR",1
"9757","MSC","GOT1",1
"9758","GATA1","AHSP",1
"9759","POU2F1","AHSP",1
"9760","IRF3","LITAF",1
"9761","NR3C1","NCOA1",1
"9762","NCOA1","NR3C1",1
"9763","POU2F1","BCL2",1
"9764","POU2F2","BCL2",1
"9765","REL","SH3BGRL",1
"9766","JUN","HES1",-1
"9767","HES1","JUN",1
"9768","AR","TGFB1",1
"9769","POU1F1","OGN",1
"9770","ETS1","PDGFD",1
"9771","SP1","PDGFD",1
"9772","AHR","EREG",1
"9773","VDR","SPP1",1
"9774","STAT1","SMARCA4",1
"9775","NR1H4","SLC1A5",1
"9776","GATA5","CTNND1",1
"9777","EOMES","CTNND1",1
"9778","TP53","HP",1
"9779","JUN","PTN",1
"9780","JUND","PTN",1
"9781","GATA6","LMCD1",1
"9782","HEY2","NPPA",1
"9783","HEY1","GATA4",-1
"9784","HEY1","GATA6",-1
"9785","LRRFIP1","TNF",-1
"9786","CEBPA","ADH1B",1
"9787","CEBPA","ADH1C",1
"9788","CEBPB","ADH1B",1
"9789","CEBPB","ADH1C",1
"9790","NKX3-1","KLK3",-1
"9791","TP73","AFP",1
"9792","SP1","RAD9A",1
"9793","HNF1A","PKLR",1
"9794","SOX4","SOX4",1
"9795","SOX4","MECOM",1
"9796","SMAD3","TERT",-1
"9797","HLF","ABCB1",1
"9798","TCF3","ABCB1",1
"9799","PBX1","ABCB1",1
"9800","NR0B1","EWSR1",1
"9801","EWSR1","NR0B1",1
"9802","NR0B1","FLI1",1
"9803","FLI1","NR0B1",1
"9804","HOXA10","NCF2",-1
"9805","SPI1","ITGA3",1
"9806","SP3","ITGA3",1
"9807","GATA1","GSTP1",1
"9808","NR1H4","FGF19",1
"9809","NR0B2","PPARGC1A",-1
"9810","ESRRA","PPARGC1A",1
"9811","ESRRG","PPARGC1A",1
"9812","AR","PMEPA1",1
"9813","NKX3-1","PML",1
"9814","MYOD1","NEU1",1
"9815","NCOR1","TSHB",1
"9816","THRB","TSHB",-1
"9817","POU1F1","CREBBP",1
"9818","NFKB1","CD3E",1
"9819","NFATC2","CD4",1
"9820","ESR1","NFATC4",1
"9821","NFATC4","ESR1",1
"9822","NFATC4","CTSD",1
"9823","IRF3","CISH",1
"9824","IRF3","IL12A",1
"9825","IRF3","IL2RB",1
"9826","NCOR2","APP",1
"9827","NR1I2","APP",1
"9828","NR1I2","NCOR2",1
"9829","NCOR2","NR1I2",1
"9830","MYF5","RRAD",1
"9831","MYOD1","RRAD",1
"9832","MTF1","SELENOW",1
"9833","MTF1","CSRP1",1
"9834","MTF1","SLC39A10",-1
"9835","NR4A1","RPS6KA1",1
"9836","CEBPB","CAT",1
"9837","NFYA","ABCB1",1
"9838","USF1","SLC19A1",1
"9839","ATF1","MUC2",1
"9840","CREB1","MUC2",1
"9841","JUN","MUC2",-1
"9842","TP53","PRL",-1
"9843","ESR1","BRCA1",1
"9844","BRCA1","ESR1",1
"9845","JUN","BRCA1",1
"9846","FOS","BRCA1",1
"9847","BRCA1","FOS",1
"9848","KLF6","KAT2B",1
"9849","SP1","CTH",1
"9850","TP53","TNFRSF10D",1
"9851","TP53","CCR6",1
"9852","TBX10","TP53",1
"9853","SNAI1","CLDN1",1
"9854","SNAI2","CLDN1",-1
"9855","SP1","BMP6",1
"9856","ID2","LIPE",1
"9857","RELA","SAA1",1
"9858","STAT3","SAA1",1
"9859","VDR","APOA1",1
"9860","VSX2","CES1",1
"9861","VSX2","SAG",1
"9862","E2F6","STAG3",-1
"9863","THRB","TH",1
"9864","IRF7","CD80",1
"9865","STAT6","SCGB3A1",1
