"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","PI3K","TGFb","TNFa","Trail","VEGF","WNT","p53"
"SAM7f0d9cc7f001",0.837785181583782,0.127611479641722,-0.00349725694890972,-0.49132162008287,-0.344234930007234,-0.603819329211859,1.61828339157449,-0.701167261248524,0.365966550971198,0.0645200850801328,1.28342631525331,-0.84514799395636,-0.181274779809906,0.246860505541132
"SAM4305ab968b90",-1.58630773211549,-0.678291905088146,-0.0885618055006122,-0.078109447476069,-1.88608456134618,0.86060425276077,-1.91091049557952,-0.521072962590541,-1.92275418694765,-1.12982157862491,-1.7915357547854,1.90522644465062,-1.16449178903119,0.0432133421708868
"SAMcf018fee2acd",0.706087720215487,-0.0262608968454724,-1.33594682759171,-0.0778992157824441,0.0640273673646145,-1.01026845943955,0.142536514950021,-1.83425003228954,-0.775934573805423,-0.638613966815577,1.00980227582439,-1.02746979788788,0.0408173243565703,1.40968918367598
"SAMcc4675f394a1",2.31809494181117,-0.0252917059214524,-0.481736926746946,-0.129474996340629,-0.719515853765951,-1.75182358725822,-0.79252813136607,-1.05699047457738,-0.0220412289151617,0.95314053792415,0.234502242015498,-1.08357901924465,0.510062395379052,0.608159027512556
"SAM49f9b2e57aa5",-0.721491192937885,-0.0458140145912747,0.121428506489983,-0.00572118781393032,-1.62161006694282,1.02828360466744,-0.662855558884791,0.0954020763225695,-0.732882576271346,-1.00782213157864,-0.398659989302686,-0.774724585305185,0.255672358935222,-0.0740887361404099
"SAM2e7aa8fa0ab3",-1.61870198668431,-1.00501349024593,-1.41423631813787,0.145139420433016,-0.401503561602585,-1.4134418242873,-0.276051439076241,0.0824537031821943,-0.221522260096513,-0.540261954813215,-0.377294566925731,0.953451125560719,1.12707148160854,0.427415618480262
"SAMdf3e42c8672a",-0.0217813907968931,1.06865005660835,1.54693863716524,1.19216841535122,0.282681484324565,1.54907944439069,0.299987668704014,1.33306938051909,-0.119929201033662,1.10687642404201,-0.402308709121663,0.848990645477577,-0.268152483019105,-1.06794878548522
"SAMd027124354ce",-1.19218432305149,-0.357111481196595,2.42705000088949,1.74035385944982,-0.513382111173117,0.842203470862714,-0.32988762954684,1.58302517460693,0.0802656323382877,-0.289712876823865,-1.01862586388982,-1.1499896008198,-0.726523377354973,-1.35546136659626
"SAMe7bf6c015192",0.239051623036737,0.239964899235707,-0.582237672642297,-0.00234335533279312,0.569440463633646,-0.575702601126522,0.670975412358744,0.78222950903992,0.166052949100585,0.805024652252896,0.983522688043724,0.0626552586927557,-0.0463100193555534,0.0396675807720656
"SAM6dd7ad1d797d",-1.47468795345656,1.70984119791921,1.33396353410826,-0.451287969182345,2.12790688636083,1.07269615142027,1.80306234445521,1.97688338469801,1.64078752472259,0.834977425741786,0.438482471376617,2.66753568187238,-0.0044039162825104,-0.924888333153548
"SAM18039827e1b9",0.705085119211501,-0.89394264237478,-1.87810115415301,0.011696625443143,-1.532020655184,0.754069488224588,-0.855026117476599,-0.853108139386515,-0.913338750746662,-0.214482147653881,-0.611457005405416,0.839582730219033,0.81191593442372,-0.0580466426987731
"SAMc692536a795a",-0.0589437311703519,0.389762240142107,-0.0347505278805439,-0.859007546209084,0.364594650729223,-1.45521678951973,0.758851889777313,-0.32919501904531,0.735615166374697,-0.953483506304133,0.670856951313665,-1.63767736882981,0.11386163005312,-0.0164481944869016
"SAM9a2cf3c06fb3",1.85095304762602,0.657310428234219,0.867039868627935,-0.771084130589693,0.665176650915953,0.872113430811323,1.55402409923184,0.673467335504283,0.616000903772474,-0.37401597277477,0.452738680613919,-0.436424515842653,-0.394360845335253,-0.495647198060865
"SAM557dde1b9f3e",0.225340618381104,0.208695490935673,-0.0372246066296526,-0.17315517608014,0.062686562265521,-1.16938046873497,0.659339839439663,-0.956142905962325,0.887572150496604,-0.400199039125183,0.626101025498183,-1.83127680243671,-0.13821332069517,1.101720204528
"SAM23aa15d4a0b0",-0.0327823947857474,-0.275620615708098,-0.35652119520706,0.448230005393047,-0.503798192251456,0.240461651858458,-0.238465226365563,-0.616247759730984,-0.109182486556848,0.128079387842295,0.0549008306009299,-1.12371580192682,-0.742936506381829,-0.214206936645674
"SAM468a9e1dc821",-0.831101109129775,1.39680409412778,-0.0848976835411878,0.0966834700230369,-0.227743497645517,-0.296245683501408,-1.14225022903394,0.524206279063484,0.209725715653157,0.901792814555298,-0.235682612783924,0.581518434158018,-0.787320232131191,1.85530957713015
"SAM81b71522417a",-0.523880285853961,-1.49669610331448,-0.052518713627082,0.666151219519695,-1.5112257786574,1.29746855175511,-1.83593518948937,0.532649673409182,-1.06862684017438,-1.0333134397731,-1.73097502398941,0.14273040645932,-0.144741942656986,-1.38424822989012
