"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","PI3K","TGFb","TNFa","Trail","VEGF","WNT","p53"
"SAM7f0d9cc7f001",0.837785181583782,0.127611479641722,-0.00349725694890972,-0.491321620082869,-0.344234930007234,-0.60381932921186,1.61828339157449,-0.701167261248526,0.365966550971196,0.0645200850801339,1.28342631525331,-0.84514799395636,-0.181274779809907,0.246860505541132
"SAM4305ab968b90",-1.58630773211549,-0.678291905088144,-0.0885618055006117,-0.0781094474760703,-1.88608456134618,0.860604252760771,-1.91091049557952,-0.521072962590542,-1.92275418694765,-1.12982157862491,-1.7915357547854,1.90522644465062,-1.16449178903119,0.0432133421708868
"SAMcf018fee2acd",0.706087720215487,-0.0262608968454715,-1.33594682759171,-0.0778992157824441,0.0640273673646159,-1.01026845943955,0.142536514950022,-1.83425003228954,-0.775934573805424,-0.638613966815577,1.00980227582439,-1.02746979788787,0.0408173243565712,1.40968918367598
"SAMcc4675f394a1",2.31809494181116,-0.0252917059214533,-0.481736926746946,-0.129474996340629,-0.719515853765952,-1.75182358725822,-0.792528131366072,-1.05699047457738,-0.0220412289151597,0.953140537924153,0.234502242015501,-1.08357901924465,0.510062395379052,0.608159027512556
"SAM49f9b2e57aa5",-0.721491192937886,-0.0458140145912738,0.121428506489983,-0.00572118781393093,-1.62161006694282,1.02828360466744,-0.662855558884791,0.0954020763225707,-0.732882576271347,-1.00782213157864,-0.398659989302683,-0.774724585305185,0.255672358935222,-0.0740887361404112
"SAM2e7aa8fa0ab3",-1.61870198668431,-1.00501349024593,-1.41423631813788,0.145139420433018,-0.401503561602586,-1.41344182428729,-0.27605143907624,0.0824537031822025,-0.221522260096513,-0.540261954813215,-0.377294566925728,0.953451125560721,1.12707148160854,0.427415618480262
"SAMdf3e42c8672a",-0.0217813907968931,1.06865005660835,1.54693863716525,1.19216841535122,0.282681484324564,1.54907944439069,0.299987668704013,1.33306938051909,-0.119929201033664,1.10687642404201,-0.40230870912166,0.848990645477577,-0.268152483019105,-1.06794878548522
"SAMd027124354ce",-1.19218432305149,-0.357111481196592,2.42705000088949,1.74035385944982,-0.513382111173117,0.842203470862712,-0.329887629546839,1.58302517460693,0.0802656323382887,-0.289712876823868,-1.01862586388982,-1.14998960081979,-0.726523377354973,-1.35546136659627
"SAMe7bf6c015192",0.239051623036735,0.239964899235707,-0.582237672642296,-0.00234335533279312,0.569440463633645,-0.575702601126523,0.670975412358742,0.782229509039919,0.166052949100584,0.805024652252898,0.983522688043721,0.0626552586927565,-0.0463100193555525,0.0396675807720656
"SAM6dd7ad1d797d",-1.47468795345656,1.70984119791921,1.33396353410826,-0.451287969182344,2.12790688636083,1.07269615142027,1.80306234445521,1.97688338469801,1.64078752472258,0.834977425741785,0.438482471376617,2.66753568187238,-0.00440391628250972,-0.924888333153549
